name,date,website,location,run_info
Döhrener Abendlauf Hannover,03.06.2022,www.doehrener-abendlauf.de,"30519 Hannover, Schützenallee 10","[['10 km', '19.00 Uhr', '7,00 Euro'], ['6,6 km', '18.45 Uhr', '7,00 Euro'], ['1,6 km', '18.10 Uhr', '2,00 Euro'], ['0,3 km', '17.55 Uhr', 'kostenlos']]"
Straßenlauf Wolfskehlen,03.06.2022,www.tsv03wolfskehlen.de,"64560 Wolfskehlen, Sportplatz an der Sandkaute  (Stadion des TSV 03 Wolfskehlen )","[['10 km', '19.00 Uhr', '8,00 Euro'], ['5 km', '18.50 Uhr', '5,00 Euro'], ['1 km', 'ab 18.10 Uhr', '3,00 Euro'], ['0,4 km', 'ab 18.00 Uhr', '0,00 Euro']]"
Baldeggerseelauf Hitzkirch,04.06.2022,www.baldeggerseelauf.ch,CH 6285 Hitzkirch (Dorfzentrum),"[['10 Meilen/ 16,093 km', '18.20 Uhr', '30,00 CHF'], ['4,5 km', '17.30 Uhr', '30,00 CHF'], ['0,29 km/0,53 km/1,03 km/1,53 km/2,03 km Kinderläufe', '15.30 Uhr - 17.15 Uhr', '16,00 CHF']]"
Mitternachtslauf Kröv,04.06.2022,www.mitternachtslauf-kroev.de,"54536 Kröv, Robert-Schuman-Straße  112 (Europabrunnen)","[['9,4 km', '21.30 Uhr/23.00 Uhr', '12,00 Euro'], ['3,8 km', '20.00 Uhr', '12,00 Euro'], ['2,2 km', '19.00 Uhr', '5,00 Euro'], ['0,42 km', 'ab 18.00 Uhr', '5,00 Euro']]"
Stadtlauf Bad Oeynhausen,04.06.2022,www.stadtlauf-bad-oeynhausen.de,32545 Bad Oeynhausen (Ostkorso),"[['10 km', '19.30 Uhr', '10,00 Euro'], ['2,5 km', '18.00 Uhr', '8,00 Euro']]"
Spitzbergen-Marathon,04.06.2022,www.spitsbergenmarathon.no,NO 9171 Longyearbyen,"[['42,195 km', '10.00 Uhr', '04.06.2022', '650,00 - 700,00 NOK'], ['21,1 km', '11.30 Uhr', '04.06.2022', '550,00 - 600,00 NOK'], ['10 km', '13.15 Uhr', '04.06.2022', '350,00 - 400,00 NOK'], ['42,195 km', '10.00 Uhr', '03.06.2023', '650,00 - 700,00 NOK'], ['21,1 km', '11.30 Uhr', '03.06.2023', '550,00 - 600,00 NOK'], ['10 km', '13.15 Uhr', '03.06.2023', '350,00 - 400,00 NOK']]"
Budweis-Halbmarathon České Budějovice,04.06.2022,www.runczech.com/en/events/mattoni-ceske-budejovice-half-marathon/races/mattoni-ceske-budejovice-half-marathon,"CZ 37001 České Budějovice (Budweis), Náměstí Přemysla Otakara II ","[['21,1 km', '19.00 Uhr', '40,00 - 45,00 Euro'], ['21,1 km Staffel', '19.00 Uhr', '175,00 - 195,00 Euro'], ['10 km + 11 km 2Run', '19.00 Uhr', '55,00 - 70,00 Euro'], ['3 km Family Run', '17.00 Uhr', '2,00 - 8,00 Euro']]"
Illinger Citylauf,04.06.2022,www.teamsportevolution.de,"75428 Illingen, Burgweg 4","[['10 km', '14.00 Uhr', '8,00 Euro'], ['5,6 km', '14.00 Uhr', '5,00 Euro'], ['1,4 km', 'ab 12.30 Uhr', '3,00 Euro'], ['0,4 km', '12.15 Uhr', 'kostenlos']]"
Europaläufe Hoyerswerda,04.06.2022,www.hoyerswerda-marathon.de,"02977 Hoyerswerda, Liselotte-Herrmann-Straße 7 (Friedrich-Ludwig-Jahn Stadion )","[['6h-Ultra-Lauf/Runde 2 km', '9.00 Uhr', '40,00 - 60,00 Euro'], ['24min-Lauf/Runde 2 km', '12.00 Uhr', '3,00 - 5,00 Euro'], ['42,195 km', '7.00 Uhr', '30,00 - 50,00 Euro'], ['21,1 km', '9.00 Uhr', '20,00 - 30,00 Euro'], ['10 km', '10.00 Uhr', '6,00 - 8,00 Euro'], ['6 km', '10.00 Uhr', '5,00 - 7,00 Euro']]"
Self-Transcendence 2-Meilen-Lauf Heidelberg,04.06.2022,de.srichinmoyraces.org/self-transcendence-2-mile-race,"69120 Heidelberg, Neckarwiese/Theodor-Heuss-Brücke ","[['1,6 km/ 3,2 km', '8.30 Uhr', '04.06.2022', '2,00 Euro'], ['1,6 km/ 3,2 km', '8.30 Uhr', '18.06.2022', '2,00 Euro'], ['1,6 km/ 3,2 km', '8.30 Uhr', '02.07.2022', '2,00 Euro'], ['1,6 km/ 3,2 km', '8.30 Uhr', '23.07.2022', '2,00 Euro']]"
Neudorfer Pfingstlauf,04.06.2022,www.weinviertlerlaufcup.at,AT 2135 Neudorf bei Staatz,"[['10 km', '19.00 Uhr', '12,00 Euro'], ['3,3 km', '19.00 Uhr', '5,00 Euro'], ['1,5 km', '18.00 Uhr', '0,00 Euro'], ['0,75 km', '17.30 Uhr', '0,00 Euro']]"
Rock ‘n’ Roll Marathon San Diego,04.06.2022,www.runrocknroll.com/san-diego/,"US CA-92101 San Diego, Sixth Avenue 3004 (Balboa Park)","[['5 km', '7.00 Uhr', '04.06.2022', '49,00 USD'], ['42,195 km', '6.15 Uhr', '05.06.2022', '119,00 USD'], ['21,1 km', '6.15 Uhr', '05.06.2022', '109,00 USD']]"
Stockholm-Marathon,04.06.2022,www.stockholmmarathon.se,"SE 114 33 Stockholm, Lidingövägen  (Stockholm Olympic Stadium)","[['42,195 km', '12.00 Uhr/12.10 Uhr', '90,00 - 120,00 Euro']]"
Mondsee-Halbmarathon,04.06.2022,www.mondseelauf.at,"AT 5310 Mondsee, Marktplatz ","[['21,1 km', '17.00 Uhr', '37,00 Euro'], ['10 km', '17.20 Uhr', '31,00 Euro'], ['5 km', '17.30 Uhr', '21,00 Euro']]"
Herzogenburg-Marathon,04.06.2022,my.raceresult.com/194675,"AT 3130 Herzogenburg, Dammstraße 1 (am Traisendamm)","[['42,2 km', '9.00 Uhr Hauptstart oder Individualstart später', '20,00 Euro'], ['21,1 km', '9.00 Uhr Hauptstart oder Individualstart später', '15,00 Euro'], ['12 km', '9.00 Uhr Hauptstart oder Individualstart später', '8,00 Euro'], ['6 km', '9.00 Uhr Hauptstart oder Individualstart später', '8,00 Euro']]"
Schwanheimer Pfingstlauf Frankfurt,04.06.2022,www.schwanheimer-pfingstlauf.de,"60529 Frankfurt, Schwanheimer Bahnstraße ","[['10 km', '16.00 Uhr', '10,00 Euro'], ['5 km', '16.00 Uhr', '5,00 Euro'], ['1 km', '16.00 Uhr', '3,00 Euro']]"
Elpersheimer Pfingstlauf Weikersheim,05.06.2022,www.sv-elpersheim.de,"97990 Weikersheim-Elpersheim, Wallgraben 35","[['21,1 km', '9.30 Uhr', '14,00 - 16,00 Euro'], ['10 km', '9.30 Uhr', '10,00 - 12,00 Euro'], ['5 km', '11.00 Uhr', '7,00 - 9,00 Euro'], ['5 km', '11.00 Uhr', '20,00 - 22,00 Euro'], ['3 km', '11.40 Uhr', '4,00 - 6,00 Euro'], ['1,5 km', '11.40 Uhr', '4,00 - 6,00 Euro'], ['0,5 km', '12.00 Uhr', '3,00 Euro']]"
Pfingstlauf Wohlen,05.06.2022,www.pfingstlauf.ch,"CH 5610 Wohlen, Wilstrasse 76 (Stadion Niedermatten)","[['10 km', '14.25 Uhr', '33,00 CHF'], ['10 km', '11.45 Uhr', '35,00 CHF'], ['3,9 km', '14.33 Uhr', '14,00 - 33,00 CHF'], ['1,5 km', '13.55 Uhr', '14,00 CHF'], ['1 km', '13.45 Uhr', '14,00 CHF'], ['0,3 km', '13.25 Uhr', '14,00 CHF']]"
Harzgeröder Klippenlauf,05.06.2022,www.klippenlauf.de,"06493 Harzgerode, Förstereiweg     1 (Gelände Hundeplatz)","[['21,1 km', '9.30 Uhr', '13,00 Euro'], ['15 km', '10.00 Uhr', '10,00 Euro'], ['5 km', '10.06 Uhr', '7,00  Euro'], ['2,5 km Schülerlauf', '10.03 Uhr', '5,00 Euro'], ['1 km Schnupperlauf', '9.33 Uhr', '3,00 Euro']]"
Oichental Halbmarathon Nussdorf am Haunsberg,05.06.2022,grawe.oichtental-halbmarathon.at,AT 5151 Nussdorf am Haunsberg,"[['21,1 km', '14.00 Uhr', '35,00 - 40,00 Euro (Staffel 50,00 - 55,00 Euro)'], ['10 km', '14.08 Uhr', '25,00 - 30,00 Euro'], ['5 km', '14.08 Uhr', '17,00 - 22,00 Euro'], ['1,4 km/ 0,8 km/ 0,4 km/ 0,2 km Kinder- und Schülerläufe', '11.00 Uhr', '7,00 Euro']]"
Rock ‘n’ Roll Marathon San Diego,04.06.2022,www.runrocknroll.com/san-diego/,"US CA-92101 San Diego, Sixth Avenue 3004 (Balboa Park)","[['5 km', '7.00 Uhr', '04.06.2022', '49,00 USD'], ['42,195 km', '6.15 Uhr', '05.06.2022', '119,00 USD'], ['21,1 km', '6.15 Uhr', '05.06.2022', '109,00 USD']]"
Gettorf-Lauf,05.06.2022,www.gettorf-lauf.de,24214 Gettorf,"[['16,09 km 10 Meilen-Lauf', '9.30 Uhr', '12,00 Euro'], ['5 km', '9.20 Uhr', '8,00 Euro'], ['3 km Schülerlauf', 'ab 13.00 Uhr', '3,00 - 5,00 Euro'], ['0,6 km Bambinilauf', '12.00 Uhr', '5,00 Euro']]"
Benrather Schlosslauf Düsseldorf,05.06.2022,www.lt-duesseldorf-sued.de,"40597 Düsseldorf, Benrather Schloss Allee 100 (Benrather Schloss)","[['10 km', '11.00 Uhr', '11,00 - 13,00 Euro'], ['5 km', '10.00 Uhr', '11,00 - 13,00 Euro'], ['4,5 km', '14.00 Uhr', '15,00 Euro'], ['2,5 km', 'ab 14.40 Uhr', '12,00 Euro'], ['1,44 km', 'ab 13.15 Uhr', '4,00 - 5,00 Euro'], ['0,35 km', 'ab 12.30 Uhr', 'kostenlos']]"
Dortmunder Friedenslauf,06.06.2022,www.tsvkirchlinde.de,"44379 Dortmund, Westwikstraße 13","[['21,1 km', '9.45 Uhr', '13,00 Euro'], ['10 km', '9.45 Uhr', '10,00 Euro'], ['5 km', '12.30 Uhr', '7,00 Euro'], ['1,2 km', '12.15 Uhr', '3,00 Euro'], ['0,3 km', '12.00 Uhr', 'kostenlos']]"
Südpfalzlauf Rülzheim Pfingstlauf,06.06.2022,lgruelzheim.de,76761 Rülzheim (Am See),"[['10 km', '9.00 Uhr', '7,00 Euro'], ['21,1 km', '9.20 Uhr', '11,00 Euro'], ['5,2 km', '9.10 Uhr', '5,00 Euro'], ['1 km', '10.15 Uhr', '3,50 Euro'], ['0,3 km', '10.20 Uhr', '2,50 Euro']]"
Ormonter Volkslauf,06.06.2022,www.fc-ormont.de,54597 Ormont,"[['9,2 km', '17.00 Uhr', '5,00 Euro'], ['4,6 km', '17.00 Uhr', '3,00 Euro'], ['1 km', '16.00 Uhr', '0,00 Euro'], ['2 km', '15.00 Uhr', '2,00 Euro'], ['1 km', '14.30 Uhr', '2,00 Euro'], ['0,3 km', '15.30 Uhr', '0,00 Euro']]"
Hallescher Firmenlauf,08.06.2022,www.hallescher-firmenlauf.de,"06108 Halle (Saale), Peißnitzstraße/Ziegelwiese ","[['2,5 km', '16.00 Uhr', '60,00 - 80,00 Euro pro Team']]"
Deichlauf Neuwied,10.06.2022,www.deichlauf.de,"56564 Neuwied, Rheinstraße  (Goethe-Anlage)","[['10 km', '19.15 Uhr', '8,00 - 15,00 Euro'], ['5 km', '18.00 Uhr', '8,00 - 15,00 Euro'], ['1 km', 'ab 17.30 Uhr', '2,00 - 4,00 Euro']]"
B2RUN Firmenlauf Düsseldorf,10.06.2022,www.b2run.de,"40474 Düsseldorf, Arena-Straße  1 (Merkur Spiel-Arena)","[['6,2 km', 'ab 17.00 Uhr', '24,90 - 32,90 Euro']]"
B2RUN Firmenlauf Düsseldorf,10.06.2022,www.b2run.de,"40474 Düsseldorf, Arena-Straße  1 (Merkur Spiel-Arena)","[['6,2 km', 'ab 17.00 Uhr', '24,90 - 32,90 Euro']]"
Bieler Lauftage,10.06.2022,www.100km.ch,"CH 2504 Biel, Boulevard des Sports  18 (Stadien Süd/Tissot Arena)","[['100 km', '22.00 Uhr', '130,00 - 170,00 CHF'], ['100 km Stafetten/Partnerlauf', '22.30 Uhr', '300,00 - 380,00 CHF/200,00 - 260,00 CHF'], ['21,1 km', '22.45 Uhr', '65,00 - 85,00 CHF'], ['11 km Erlebnislauf', '23.00 Uhr', '50,00 - 70,00 CHF']]"
Deichlauf Neuwied,10.06.2022,www.deichlauf.de,"56564 Neuwied, Rheinstraße  (Goethe-Anlage)","[['10 km', '19.15 Uhr', '8,00 - 15,00 Euro'], ['5 km', '18.00 Uhr', '8,00 - 15,00 Euro'], ['1 km', 'ab 17.30 Uhr', '2,00 - 4,00 Euro']]"
Schwerter Ruhrstadtlauf,10.06.2022,www.ruhrstadtlauf.de,"58239 Schwerte, Wasserstr. 17 (Sportplatz GWG-Schwerte-Arena)","[['10 km', '18.30 Uhr', '10,00 Euro'], ['5 km', '20.00 Uhr', '10,00 Euro']]"
Horremer Abendlauf Kerpen,10.06.2022,www.horremer-abendlauf.de,"50196 Kerpen, Friedrich-Ebert-Platz ","[['10 km', '19.00 Uhr', '12,00 Euro'], ['5 km', '18.00 Uhr', '8,00 Euro'], ['1,5 km', '16.45 Uhr', '4,00 Euro']]"
